start	end	text
2.5399999999999974	11.66	 이라님이 갑자기 회의 클로그 같은 회의 정리 시스템을 만들려고 해서
12.36	14.88	 지금 지금 지금 열심히 해가지고 만들었어
15.839999999999996	18.36	 그런데 몰릴 파일이 없어.
19.54	21.98	 그래서 지금 운상 파일을 만드는 거야.
22.34	23.94	 얘가 듣고 좀 그걸 정리해 주는 거야.
23.96	29.8	 얘가 정리하는 건 아니고 이제 여기에서 만든 WAV 파일이나 MBC
29.8	33.12	 3 파일을 이제 뛰어가지고 내 PC에다 올리면
34.2	37.16	 걔가 이제 어떻게 결과를 해가지고 만들 거거든.
37.84	41.3	 대충 근데 뭐 살짝 회의라기보다도 그냥
41.3	45.6	 일단은 최적윤리 이런 건 사실 확인해야 될 것 같은데.
46.88	48.2	 야 오늘 나온 거 대충 알려줄게.
48.36	48.82	 그리고 이거야.
51.480000000000004	52.68	 회의를 해.
53.2	54.3	 좀 사람이라도 쓸 거라서.
54.3	61.34	 근데 이게 나중에 연어이나 개발자들이 해가지고 나중에 프로그램을 만들어내줄 수도 있어.
62.18	64.4	 분분히 뭐 할지 안 할지는 모르겠어.
66.24	66.96	 우플이래요?
67.14	70.92	 AI, AI, 회의 정리 시스템이라고 본데.
71.84	72.56	 우플이래요?
72.76	76.68	 우플이 해도 되고 왜 부르도 되고 사실 그건 프로그램이 중요하지만
77.52	79.28	 저의 거을 만드는 거예요?
79.62	81.36	 그치. 우리 푹 거를 해서 만들.
81.36	83.4	 자자, 자자, 자자, 자자.
84.92000000000002	87.4	 자자, 자자, 자자, 자자, 자자, 자자, 자자, 자자, 자자, 자자, 자자, 자자.
88.38000000000001	91.56	 남의 남이 만들어들란 게 아니고 진짜 저의가 하는 거예요?
92.3	93.24	 저의 의지들로?
93.4	94.84	 저희는 우리의 의지들 아니야.
95.48	96.48	 우리의 의지 아니에요?
97.24000000000001	98.32	 TG가자고 TG가자고?
98.32	98.9	 TG의 의지들?
99.12	100.14	 어, 우리의 게 아니지.
100.68	100.98	 아치.
101.54	105.36	 근데 뭐에서 일단은 TG에서 지금 하고 있는 게 뭐는
105.36	105.44	 뭐는?
109.98	113.28	 목걸이 형, 마이크, 그가 있어야 돼.
113.34	115.82	 목걸이 형, 뭐가 그 뭐라고 해야 돼?
116.96	118.2	 그냥 노본량치.
118.62	119.52	 뭐 이런 게 있어.
120.1	122.82	 그래서 이거를 사가지고, 이거를 겹.
123.98	126.2	 그다음에 회의할 때나 뭐 할 때 이렇게 뭐 키겠지?
126.82	127.22	 왜 못 거야?
127.72	128.3	 키겠지?
128.62	131.36	 그러면 여기다가 막 대화를 하면은
132.36	134.6	 얘가 서버룸 브랜드 다음에
136.6	140.08	 서버에서 얘가 회의로부터 정리해라.
141.36	142.7	 근데 이거 어디서 많이 봤지?
143.4	144.12	 우리 어디서서?
144.9	145.52	 GPT?
147.16	149.3	 GPT도 사실 요즘에는 그게 돼.
149.84	150.54	 아이캐이퍼.
151.98	152.8	 너는 이런 거 앉았어?
153.4	153.74	 네이버.
156.16	157.18	 클로가.
159.68	160.66	 클로가 앉았어?
160.88	161.46	 네.
161.62	163.26	 이거 사실 나는 좀 어느 정도는 주차네.
164.98	167.64	 이제 뭐 유료인지 무료인지는 모르겠는데
167.64	169.18	 클로가 같은 거 쓰면은
170.26	172.08	 저렇게 켜놓고 딱 그게 하잖아.
172.72	174.76	 회의 한 다음에, 회의 다 끝날 다음에
174.76	177.54	 이 파일이 몇 명이 회의를 했는지
178.18	179.54	 이런 거를 할 수가 있어.
181.33999999999997	183.96	 자기가 자기운 날, 그 분석해 보고.
184.06	185.98	 어, 그냥은 이렇게 뭐.
185.98	187.62	 아무 말 다 하고 있어.
187.72	188.0	 뭐, 아니야?
188.28	189.6	 아무 말 안 해.
189.74	191.42	 내가 확인하고, 우리 선을 손이나
191.98	194.1	 이런 거를 불기해가지고 할 것 같아.
194.48	196.68	 SKT A닷 같은 거 아니에요?
197.16	198.0	 그렇지, 우리 뭐지?
198.1	199.56	 어, 넌 없는 거짓을 대화하면
199.56	200.28	 맞아, 우리 아님.
200.88	200.9	 그렇지.
201.68	203.18	 나 요즘에 그 뭐야.
204.36	205.58	 통화하고 나면은
206.57999999999998	209.5	 매벌은 아니지만 뭐 월의 엄마를 공찬을 지나가.
209.94	210.98	 통화에 일약해가지고
211.98	213.76	 다음에 딱 통화 못 할 때로
213.76	216.96	 업무, 회의가 많은 직장 동료.
217.38	219.64	 이런 거 만들어주고 그런 거 막 붙여주더라고.
220.66000000000003	223.5	 의사님하고 이상한 거 이렇게 막 만들어 줘.
223.64	224.78	 그런 거 확인하는데
224.78	226.6	 이렇게 되면은
226.6	228.6	 얘가 회자가 이렇게 나냐잖아.
228.84	230.22	 우리가 회의를 할 때
232.86	234.76	 이게 결국에는 음성이잖아.
237.38	238.78	 음성을 쭉 한지.
238.86	241.84	 이거 프로그램 만든다고 치면은 어떻게 당겨를 나누고
241.84	242.1	 같아.
242.42	244.44	 나는 몇 가지 그렇게 나눠거든.
245.08	247.18	 이제 내가 이제 너네들한테
249.30000000000004	251.74	 회의 정리하는 애파랑 만들어 줘.
252.74000000000004	255.22	 화면한 너네들 어떻게 처음 시작할 거야?
258.94	260.12	 녹음부터 시작해놔.
260.5	261.86	 그렇지, 녹음부터 해야지.
262.86	263.5	 녹음했어.
