start	end	text
0.0	12.36	 이라님이 갑자기 회의 클로그 같은 회의 정리 시스템을 만들려고 해서
12.36	15.36	 지금 지금 지금 열심히 해가지고 만들었어
15.36	19.6	 그런데 몰릴 파일이 없어.
19.6	22.32	 그래서 지금 운상 파일을 만드는 거야.
22.32	24.2	 얘가 듣고 좀 그걸 정리해 주는 거야.
24.2	29.88	 얘가 정리하는 건 아니고 이제 여기에서 만든 WAV 파일이나 MBC
29.88	34.2	 파일을 이제 뛰어가지고 내 PC에다 올리면
34.2	38.239999999999995	 걔가 이제 어떻게 결과를 해가지고 만들 거거든.
38.239999999999995	41.6	 대충 근데 뭐 살짝 회의라기보다도 그냥
41.6	46.84	 일단은 최적윤리 이런 건 사실 확인해야 될 것 같은데
46.84	48.44	 야 오늘 나온 거 대충 알려줄게.
48.44	51.46	 이거야
51.46	53.16	 회의를 해.
53.16	54.72	 좀 사람이라도 쓸 거라서.
54.72	62.4	 근데 이게 나중에 연어나 개발자들이 해가지고 나중에 프로그램을 만들어내줄 수도 있어.
62.4	66.24	 분분이 왜 또 할지 알았지는 모르겠어.
66.24	67.4	 뭐 프로그램이야?
67.4	71.6	 AI, AI, 회의 정리 시스템이라고 본데.
71.6	73.03999999999999	 어프로그램?
73.03999999999999	76.74	 일부러 해도 되고 왜 프로 해도 되고 사실 그건 프로그램이 중요하지만
76.74	77.74	 그렇지.
77.74	79.58	 저의 거를 만드는 거예요?
79.58	80.32	 어 그렇지.
80.32	81.68	 우리 프로그램을 해서 만들던 거.
81.68	82.78	 자작업?
82.78	83.52	 자작업?
83.52	85.22	 유그레취드?
85.22	86.3	 자작업으로 샀어요?
86.3	88.0	 자작업으로 샀는데.
88.0	88.86	 어떻게 해야 되지?
88.86	92.28	 남의 남의 만들어던 거 아니고 진짜 저의 거 하는 거야?
92.28	93.44	 저의 의지들로?
93.44	95.6	 저의 의지들은 우리의 의지들 아니야.
95.6	96.88	 우리의 의지 아니에요?
96.88	98.16	 티즈가 좀 뭐 티즈가?
98.16	99.19999999999999	 티즈의 의지들?
99.19999999999999	100.64	 뭐 우리게 아니지.
100.64	102.08	 아치.
102.08	110.19999999999999	 근데 뭐 일단은 티즈에서 지금 하고 있는 게 뭐냐면
110.2	111.56	 목걸이 형.
111.56	113.44	 마이크가 그 게 있어.
113.44	117.44	 목걸이 형 뭐가 그 뭐라고 해야 돼?
117.44	118.8	 그냥 노본량치.
118.8	120.12	 이런 게 있어.
120.12	124.0	 그래서 이거를 사가지고 이거를 겨.
124.0	126.76	 그다음에 회의할 때나 뭐 할 때 이렇게 뭐 키겠지?
126.76	127.76	 왜 못 거야?
127.76	128.56	 키겠지?
128.56	133.32	 그러면 여기다가 막 대화를 하면
133.32	137.2	 얘가 서버로 보낸 다음에
137.2	141.56	 서버에서 얘가 회의로부터 정리해라.
141.56	143.35999999999999	 근데 이거 어디서 많이 봤지?
143.35999999999999	144.92	 우리 어디서서?
144.92	146.39999999999998	 집피티?
146.39999999999998	147.2	 배우다 뭐 있잖아.
147.2	149.83999999999997	 집피티도 사실 요즘에는 그게 대.
149.83999999999997	151.95999999999998	 아이케이버.
151.95999999999998	153.39999999999998	 너는 이런 거 앉았어?
153.39999999999998	156.79999999999998	 네 이거.
156.79999999999998	160.12	 클로가.
160.12	161.35999999999999	 클로가 앉았어?
161.35999999999999	165.48	 이거 사실 나한테 좀 어느 정도는 주차네.
165.48	168.23999999999998	 지금 유료인지 무료인지 모르겠는데
168.23999999999998	172.92	 클로가 같은 거 쓰면은 저렇게 켜놓고 딱 그게 하잖아.
172.92	175.32	 회의 한 다음에 회의 다 끝날 다음에
175.32	181.64	 이 파일이 몇 명이 회의를 했는지 이런 거를 할 수가 있어.
181.64	184.16	 자기에게 자교 운나 등록해보고 싶어.
184.16	186.76	 어, 그냥 이렇게 뭐.
186.76	187.76	 아홉 말 다 하고 있어.
187.76	188.35999999999999	 몰라요?
188.35999999999999	189.76	 아니 아홉 말 안 하고.
189.76	190.56	 내가 확인하고.
190.56	194.48	 우선 황이나 이런 거를 불기해가지고 하는 거 같아.
194.48	197.2	 SKT A다 같은 거 아니에요?
197.2	198.23999999999998	 그렇지 우리 뭐지?
198.23999999999998	199.79999999999998	 어, 그런 없는 거짓을 대화하다.
199.79999999999998	200.79999999999998	 맞아, 올려?
200.79999999999998	202.04	 그렇지.
202.04	204.51999999999998	 나 요즘에 그 뭐야.
204.51999999999998	206.76	 통화하고 나면은.
206.76	209.95999999999998	 매번은 아니지만 뭐 월의 엘말을 공찬을 지나가.
209.95999999999998	214.39999999999998	 통화에 유약해가지고 다음에 딱 통화 못 할 때로
214.39999999999998	217.48	 업무 회의가 많은 직장 동료.
217.48	220.72	 이런 거 만들어주고 그런 거 막 붙여주더라고.
220.72	223.67999999999998	 이사님하고 이상한 거 이렇게 막 만들어줘.
223.68	228.88	 그런 거 확인하는데 이렇게 되면은 얘가 회자가 이렇게 나냐죠.
228.88	237.8	 우리가 회의를 할 때 이게 결국에는 음성이잖아.
237.8	239.04000000000002	 음성을 쭉 안지.
239.04000000000002	242.44	 이거 프로그램 만든다고 치면은 어떻게 당겨를 나누 것 같아.
242.44	245.72	 나는 몇 가지 이렇게 나눠거든.
245.72	252.96	 이제 내가 이제 너네들한테 회의 정리하는 배파들어 줘.
252.96	259.24	 카메라 너네들 어떻게 처음 시작할 거야.
259.24	260.8	 녹음부터 시작해가지고.
260.8	261.8	 그렇지.
261.8	263.32	 녹음부터 해야지.
263.32	264.32	 녹음을 했어요.
264.32	265.76	 지금 녹음은 제일 나중에 하고 있잖아 지금.
265.76	272.16	 근데 이 녹음은 녹음이 만약에 있다 그러면 이제 뭐 할 거야.
272.16	273.8	 집혜한테 뭔가 물어볼 거야.
273.8	276.8	 물어볼 거야.
276.8	280.32	 이 회의로 그걸 정리해줘.
280.32	281.92	 그건 이제 입으로 만드는 게 아니잖아.
281.92	287.04	 안 될 거야니까 정리에 달러 그럴 거면 집혜가 그거 나야지.
287.04	291.6	 앱을 만날 때 앱을 만들 때 어떤 단계로 내가 이 프로그램을 만들까.
291.6	297.04	 이거 정리을 하잖아요.
297.04	300.24	 이 회의 내용을 담을 테이블 만들고.
300.24	304.64	 그래가지고 그냥 개발자전이 뭐 테이블 만들고.
304.64	306.88	 근데 몇 명인지 어떻게 나눠요?
306.88	309.08000000000004	 음성을 구분하는 뭐가 있어요?
309.08	312.28	 그런 거를 이제 화면을 만들어놔야 되잖아.
312.28	314.28	 화면을 만들어놔야 되잖아.
314.28	318.84	 너네들이 생각해봤지 내가 이렇게 딱 이렇게 만들었어.
318.84	323.64	 AI화의 정리에 하나는 프로그램이 필요해 라고 했을 때.
323.64	329.15999999999997	 용연이가 만약에 만든다 내가 그게 얘기했으면 어떻게 찾아서 만들 거야.
329.15999999999997	333.84	 녹음에서 사람 별로 말하는 걸 나눌 수 있다면.
333.84	336.96	 그냥 말하는 순서대로 사람, 텍스트, 사람 텍스트.
336.96	338.96	 그리고 집이 텐테로 물어봐야 되잖아.
338.96	341.76	 내가 어떤 식으로 물어보고 할지.
341.76	347.44	 이 헌담이 나 회의로 만들어줘 하면은 물론 쭉 알려주겠지.
347.44	351.96	 근데 나는 약간 이런 식으로 했어.
351.96	353.76	 음성 파일이 있다.
353.76	356.0	 그러면 이를 먼저 뭐 해야 돼?
356.0	359.0	 2시.
359.0	362.15999999999997	 텍스트가 바로 할 수 있는지.
362.15999999999997	366.56	 여기 해당하는 언어로는 어떤 게 있고
366.56	370.96	 프레이머크라든지 이런 거는 어떤 걸로 하는지.
370.96	374.4	 그다음에 이걸 만드는데 우리가 뭐가 들어가면 안돼?
374.4	376.32	 통이들면 안돼.
376.32	381.6	 이거 만들었는데 남의 거 갔다 썼는데 우리 거 월 100만 원 준다고 했는데
381.6	385.6	 갑자기 APA가 다 사용하고 나더니 1000만 원 나와서 부거다.
385.6	387.16	 그러면 안 되잖아.
387.16	393.4	 그러면 물을 이거나 아니면 가격이 가격정책이 어떻게 되겠는데.
393.4	395.4	 이것도 먼저 확인했어.
395.4	397.4	 집이 텐템.
397.4	402.4	 음성을 텍스트로 만들 수 있는 프로그램을 만들려고 하는데
402.4	405.84	 랭기지는 잡아 어떤 거든지 사용하고 없고
405.84	413.47999999999996	 이렇게 만들고 싶어라고 했을 때 처음에 얘가 해준 거는 하이선냐.
413.47999999999996	415.32	 하이선로 이렇게 만들어줄.
415.32	417.76	 만들 수가 있다 해서 이렇게 만들었어.
417.76	418.91999999999996	 나왔어.
418.92	421.56	 이제 이거를 해서 만들었어.
421.56	423.56	 하이선로 설치를 해서.
423.56	425.0	 내가 아직 확인은 안 해봤지.
425.0	429.96000000000004	 그는 내가 이 두 번째로 해야 되는 작업이 뭐라까.
429.96000000000004	433.32	 이제 음성을 텍스트로 만드는 프로그램을 하나 만들었잖아.
433.32	439.0	 그러면 이제 여기
439.0	440.08000000000004	 했잖아.
440.08000000000004	443.28000000000003	 말하고 있는 사람들이 가까이 다 분리가 될 수 있는지.
443.28000000000003	445.08000000000004	 안 누가 말했고.
445.08000000000004	446.04	 누가 말했고.
446.04	448.04	 이거를 알아 봐줘.
448.04	450.92	 라고 했더니 얘가 똑같이 파이선로 해서
450.92	455.56	 회자를 분리할 수 있는 API들은 이런 게 있고
455.56	458.76000000000005	 이런 서비스를 이용하면 되고 어떤 건 무료고 이렇게 쭉 되어 있어.
458.76000000000005	461.04	 나왔어.
461.04	465.36	 근데 이 회자가 예를 들어서
465.36	467.68	 아무런 정보가 없다.
467.68	471.52000000000004	 그러면은지 뭐 아니면 회자 1.
471.52000000000004	473.04	 회자 2.
473.04	473.96000000000004	 회자 3.
473.96000000000004	475.76	 이렇게 나오겠지.
475.76	478.64	 근데 이제 여기다가 좀 추가로 물어본 것 같고
478.64	482.32	 내가 미리 이 회자들의 목소리를 윗력을 해놓으면
482.32	487.52	 혹시 이거 또 구분 가능해 라고 해서 물어봤더니 강원하대.
487.52	490.56	 그래서 이거는 이렇게 하면 되는데
490.56	492.96	 이렇게 하면 되기라고 해서 나왔어.
492.96	496.4	 근데 이거는 지금 내가 적용은 안 했지.
496.4	498.48	 그 다음에 회자가 정리가 됐어.
498.48	503.4	 그 다음에 이제 뭐 있을까.
503.4	511.64	 얘를 탈로 출력하는 방식에 대해서 이야기한 거야.
511.64	518.28	 얘를 디우시이나 HWP나 XL이나 이런 걸로 가능해 라고 했는데
518.28	519.28	 가능한 하대.
519.28	522.04	 근데 많이 관리인다.
522.04	523.0	 뭐 이렇게 이렇게 된다.
523.0	526.88	 뭐가 필요하다 이렇게 가지고 라이브라이니까 되게 많아.
526.88	528.16	 엄청나게 많았어.
528.16	532.56	 그래서 이거를 해가지고 지금
532.56	539.3599999999999	 얘를 다 빵 따로 개발을 해놓은 다음에 얘를 먼저 어떻게.
539.3599999999999	542.0799999999999	 당장은 지금 굴릴 수 있는 방법을 내고 있잖아.
542.0799999999999	549.2399999999999	 책지피티한테 얘를 하의를 직접 입력할 수 있는 유아이로 만들어줘.
549.2399999999999	554.3199999999999	 그리고 결과받으면 어디에다가 폴더에다가
554.3199999999999	555.4399999999999	 저장을 해줘.
555.4399999999999	557.8399999999999	 이렇게까지 해 놓은 상태야.
557.84	560.6800000000001	 지금 이거를 갖고 녹음을 해가지고
560.6800000000001	563.32	 저기다가 쓸 것 같은데.
563.32	567.0400000000001	 여기 이제 이거 계속 해가지고 얼마나 인식률이 되고
567.0400000000001	569.0400000000001	 뭐하고 뭐하고 그리고
